Drug	c_target_A	c_target_cancer_direct_A	c_target_cancer_direct_A_scoreA	c_target_cancer_second_A	c_target_cancer_B	c_target_cancer_degree_B	c_target_cancer_degree_B_scoreA	c_target_cancerB_B	c_target_cancerB_degree_B	c_target_cancerB_degree_B_scoreB	c_target_B
DB09130	147	15	36	90	217	735	2047	2863	8159	118909	3626
DB00157	144	11	14	45	43	96	197	510	1415	11760	865
DB03147	86	6	8	12	28	48	94	263	516	4392	352
DB00142	70	1	1	28	37	100	156	495	1474	14291	626
DB00114	66	3	3	14	15	19	39	138	251	2532	228
DB00898	52	0	0	12	27	48	100	283	637	6086	357
DB00334	48	5	5	20	20	39	83	160	1294	24012	209
DB00543	44	7	7	15	13	27	36	136	940	16822	180
DB00171	42	9	25	30	174	550	1526	2117	4881	124117	2309
DB00143	42	4	5	10	20	22	109	128	302	3304	152
DB01049	41	5	5	16	13	30	42	114	947	17283	157
DB01708	35	6	51	13	79	159	416	571	1387	19565	606
DB00321	35	8	9	24	29	54	104	282	1277	21683	313
DB11348	33	3	3	13	31	50	73	475	819	13781	592
DB11093	33	3	3	13	31	50	73	475	819	13781	592
DB01159	32	0	0	7	33	37	66	493	795	8712	661
DB00408	32	6	6	17	13	28	31	136	1097	20317	159
DB00201	32	5	7	26	90	267	819	844	2379	63382	875
DB00909	31	14	15	14	17	57	89	132	511	2534	142
DB00145	31	0	0	6	9	14	17	174	372	3668	233
DB00421	28	5	41	19	58	126	281	423	1059	12731	435
DB00312	28	1	12	10	19	46	98	185	871	9318	242
DB00363	27	6	6	16	13	27	32	117	897	16747	137
DB01224	26	6	6	15	12	27	30	116	928	17475	133
DB00477	26	8	8	16	14	27	39	138	874	16438	155
DB00139	26	0	0	4	3	5	5	60	94	861	107
DB13025	25	6	6	17	13	31	43	109	931	17374	126
DB09462	25	2	2	6	42	46	135	383	401	8014	513
DB02709	25	11	39	19	137	245	715	1164	1532	31731	1228
DB01238	25	5	5	14	12	25	28	114	881	16586	131
DB00726	25	6	6	12	18	28	63	159	799	14775	182
DB00540	25	7	7	14	19	31	69	156	792	14723	174
DB00458	25	7	7	11	14	23	29	178	678	11252	198
DB00246	25	5	5	14	12	25	28	114	881	16586	131
DB00126	25	0	0	8	18	22	54	120	142	1873	165
DB00659	24	0	0	8	16	41	66	197	850	8511	233
DB06148	23	7	7	16	12	28	40	128	974	18226	148
DB02659	23	2	3	4	11	15	59	70	148	1481	114
DB01254	23	23	65	22	166	905	2390	1764	6972	261372	1764
DB01142	23	8	8	14	13	25	37	137	760	13930	151
DB00786	23	23	27	10	17	24	60	69	184	3399	69
DB00313	23	7	10	16	59	120	250	642	1333	16943	673
DB00228	23	0	0	3	17	17	26	132	170	1471	195
DB01236	22	0	0	3	17	17	26	134	171	1456	232
DB01189	22	0	0	3	17	17	26	134	171	1456	232
DB01028	22	0	0	3	17	17	26	134	171	1456	232
DB00753	22	1	1	3	17	17	26	130	167	1451	192
DB00514	22	2	2	10	72	153	416	684	1356	30454	844
DB00370	22	6	6	14	17	30	62	154	907	17011	178
DB00273	22	5	5	2	4	4	8	56	99	510	84
DB00172	22	0	0	7	28	52	112	257	659	7801	352
DB00128	22	0	0	5	5	5	5	119	133	1352	162
DB09283	21	1	1	16	7	27	45	56	224	4084	60
DB09089	21	0	0	12	8	41	41	164	539	4681	180
DB01151	21	7	7	12	17	27	53	150	700	12828	168
DB06216	20	4	4	15	19	31	66	143	935	17807	165
DB01595	20	1	1	1	3	3	3	34	68	295	60
DB01373	20	1	1	7	26	35	90	477	703	9873	600
DB01221	20	2	2	13	10	22	31	200	765	13180	222
DB00897	20	0	0	1	2	2	2	11	45	205	37
DB00852	20	5	8	16	85	151	450	569	1030	22452	617
DB00829	20	0	0	1	2	2	2	11	45	205	37
DB00794	20	0	0	2	4	4	12	44	93	614	93
DB00463	20	0	0	2	4	4	12	44	93	614	93
DB00306	20	0	0	2	4	4	12	44	93	614	93
DB00248	20	5	5	16	18	34	66	145	994	18805	167
DB00241	20	0	0	2	4	4	12	44	93	614	93
DB00237	20	0	0	2	4	4	12	44	93	614	93
DB00231	20	0	0	1	2	2	2	11	45	205	37
DB09304	19	2	2	12	7	19	31	86	659	12393	95
DB01589	19	0	0	0	0	0	0	8	42	188	34
DB01588	19	0	0	0	0	0	0	8	42	188	34
DB01558	19	0	0	0	0	0	0	8	42	188	34
DB01403	19	5	5	10	9	19	19	107	637	11947	123
DB01215	19	0	0	0	0	0	0	8	42	188	34
DB00842	19	0	0	0	0	0	0	8	42	188	34
DB00801	19	0	0	0	0	0	0	8	42	188	34
DB00755	19	19	27	14	51	114	344	235	489	8431	235
DB00690	19	0	0	0	0	0	0	8	42	188	34
DB00683	19	0	0	0	0	0	0	8	42	188	34
DB00661	19	4	4	17	12	54	57	186	826	7382	199
DB00182	19	5	5	13	29	50	113	161	652	12148	179
DB11582	18	1	1	1	6	6	10	18	51	437	43
DB09118	18	0	0	1	2	2	4	17	50	388	43
DB08896	18	18	105	17	118	641	1797	1179	5191	207967	1179
DB04855	18	6	6	18	14	52	55	204	801	10204	216
DB01392	18	2	2	11	8	19	25	106	654	11765	127
DB01267	18	5	5	12	11	21	32	110	685	12618	128
DB01200	18	5	5	14	11	26	32	110	861	16207	127
DB01068	18	1	12	2	11	11	35	43	76	841	68
DB00945	18	4	8	18	138	475	1437	1568	3088	71595	1724
DB00818	18	1	1	2	4	7	7	39	98	456	64
DB00674	18	0	0	0	0	0	0	6	21	30	33
DB00162	18	3	3	3	8	8	56	57	133	865	71
DB08846	17	17	23	7	97	179	450	890	1504	47438	890
DB01186	17	5	5	14	11	26	32	110	825	15421	127
DB01136	17	7	11	14	84	105	289	366	743	15130	430
DB00934	17	6	6	9	9	18	18	103	538	10013	115
DB00628	17	0	0	1	2	2	2	10	43	189	35
DB00418	17	0	0	9	11	37	65	151	826	8622	197
DB00402	17	0	0	1	2	2	2	10	43	189	35
DB00292	17	0	0	1	1	1	1	62	95	1174	87
DB00186	17	0	0	1	2	2	2	10	43	189	35
DB09167	16	7	7	8	6	14	14	101	453	8101	107
DB06637	16	0	0	16	8	47	53	71	477	2295	79
DB01594	16	0	0	0	0	0	0	8	33	146	34
DB01567	16	0	0	0	0	0	0	8	33	146	34
DB01559	16	0	0	0	0	0	0	8	33	146	34
DB01437	16	0	0	0	0	0	0	7	40	172	32
DB01205	16	0	0	0	0	0	0	7	40	172	32
DB01110	16	2	13	4	21	32	101	186	325	2852	200
DB01107	16	0	0	0	0	0	0	7	40	172	32
DB00721	16	0	0	4	18	30	58	187	207	1715	205
DB00696	16	6	6	13	12	26	35	112	771	14439	128
DB00675	16	16	71	14	115	342	768	848	2593	83256	848
DB00568	16	1	1	8	9	27	27	173	544	5881	190
DB00546	16	0	0	0	0	0	0	8	33	146	34
DB00475	16	0	0	0	0	0	0	7	40	172	32
DB00454	16	1	1	7	11	31	51	214	726	9049	237
DB00404	16	0	0	0	0	0	0	7	40	172	32
DB00371	16	0	0	0	0	0	0	7	40	172	32
DB00349	16	0	0	0	0	0	0	7	40	172	32
DB00189	16	0	0	0	0	0	0	7	40	172	32
DB08901	15	15	88	15	129	619	1761	1015	4886	195877	1015
DB08818	15	0	0	6	22	23	61	128	133	1432	151
DB05541	15	4	4	10	5	34	34	99	469	1736	101
DB05147	15	15	52	14	34	313	991	210	1961	56678	210
DB00988	15	2	2	5	9	11	17	145	367	6197	167
DB00734	15	5	5	11	10	20	20	105	680	12597	122
DB00714	15	2	2	11	8	19	25	103	680	12709	122
DB00622	15	4	4	6	11	21	21	174	385	4916	182
DB00589	15	2	2	11	8	19	25	103	716	13495	120
DB00131	15	1	1	12	85	184	610	513	943	27376	568
DB00075	15	12	93	14	21	44	176	67	113	2295	70
DB00777	14	4	4	6	8	14	14	99	376	7013	114
DB00420	14	4	4	6	8	14	14	99	376	7013	114
DB00413	14	2	2	11	8	19	25	103	680	12709	120
DB00277	14	3	8	7	42	47	95	532	651	12228	543
DB00268	14	2	2	11	8	19	25	103	680	12709	120
DB00129	14	0	0	0	0	0	0	7	13	86	18
DB00119	14	0	0	2	9	9	13	63	73	603	84
DB00071	14	1	2	5	79	115	266	573	910	29978	650
DB00054	14	12	93	13	40	61	250	219	265	4862	223
DB00005	14	11	92	11	28	39	186	111	148	2721	125
DB03754	13	1	5	3	43	48	213	180	186	3437	201
DB01645	13	13	68	10	127	228	722	952	1229	26936	952
DB01592	13	3	4	7	32	36	91	478	497	7732	502
DB01363	13	2	2	9	23	39	102	140	411	7465	152
DB01174	13	1	12	10	19	46	98	183	836	9168	229
DB01023	13	1	1	9	13	34	49	294	661	7385	344
DB00996	13	0	0	12	16	41	61	261	909	9745	277
DB00493	13	1	1	1	2	2	2	20	22	90	21
DB00184	13	1	6	2	3	3	3	11	21	149	28
DB00170	13	2	2	6	13	21	50	112	297	1660	134
DB00160	13	0	0	2	1	2	2	28	44	369	52
DB00155	13	0	0	3	16	30	82	156	365	3059	172
DB00151	13	0	0	5	7	8	9	90	114	709	130
DB00074	13	13	96	12	24	41	170	64	91	2045	64
DB00072	13	13	117	12	80	129	542	387	541	13425	387
DB05492	12	5	5	11	7	18	24	90	573	10581	101
DB03496	12	12	36	11	128	462	1176	1316	3587	69768	1316
DB01331	12	0	0	0	0	0	0	0	0	0	0
DB01239	12	1	1	5	6	10	16	97	336	6246	113
DB01109	12	8	15	11	59	209	892	499	1240	45419	513
DB00668	12	4	4	11	26	36	102	228	609	11233	252
DB00599	12	0	0	2	4	4	12	48	87	713	87
DB00368	12	4	4	10	14	22	57	119	495	9377	125
DB00116	12	2	2	3	6	6	23	127	144	1948	144
DB00111	12	12	91	11	24	40	162	55	81	2011	55
DB00108	12	11	88	10	20	31	148	50	69	1312	51
DB00078	12	12	97	10	17	28	150	36	55	966	36
DB00073	12	12	97	10	17	28	150	36	55	966	36
DB00056	12	12	93	10	17	28	150	37	57	1030	37
DB00055	12	0	0	8	20	27	68	165	291	1971	242
DB00051	12	11	92	11	28	39	186	107	127	2508	118
DB00030	12	1	2	5	79	115	266	565	902	29955	627
DB00002	12	12	110	11	74	92	369	341	369	8335	341
DB11994	11	1	1	5	14	22	84	58	89	1478	67
DB09238	11	0	0	11	7	40	40	104	474	3663	113
DB06603	11	11	25	11	51	182	458	545	3144	58214	545
DB05015	11	11	25	11	51	182	458	545	3144	58214	545
DB04946	11	3	3	7	9	14	17	100	450	8570	116
DB03619	11	2	2	3	11	11	35	387	387	2941	439
DB03010	11	11	49	11	34	252	820	209	1556	44711	209
DB01873	11	11	49	11	34	252	820	209	1556	44711	209
DB01577	11	2	2	6	15	29	57	94	261	4630	100
DB01388	11	0	0	11	7	40	40	104	474	3663	113
DB01069	11	3	3	3	7	9	9	93	227	4258	105
DB00849	11	1	12	3	12	13	45	74	114	1222	112
DB00583	11	2	2	4	5	7	15	15	22	258	24
DB00537	11	2	17	2	3	3	10	115	115	1457	115
DB00173	11	0	0	3	40	43	161	225	230	5110	261
DB00159	11	1	1	8	42	59	160	167	230	4877	195
DB00112	11	11	92	10	45	55	263	87	105	2626	87
DB00110	11	10	87	9	17	27	142	27	45	932	27
DB00095	11	10	87	10	20	31	151	59	79	1804	62
DB00092	11	10	87	10	18	28	144	32	51	1006	35
DB00087	11	11	88	9	17	27	142	27	45	932	27
DB00081	11	11	92	9	17	27	142	27	45	932	27
DB00031	11	2	2	11	36	45	93	266	355	4197	300
DB00028	11	11	60	11	17	27	98	57	89	1208	57
DB00025	11	1	1	6	35	42	103	452	548	6644	504
DB09079	10	10	65	10	121	457	1367	895	3501	139445	895
DB09060	10	0	0	0	0	0	0	0	0	0	0
DB08604	10	2	27	4	45	59	169	313	372	6445	326
DB06738	10	0	0	10	11	36	56	198	912	10958	212
DB06616	10	10	26	10	162	493	1350	1664	3585	112059	1664
DB06589	10	10	74	10	81	326	959	567	2563	108901	567
DB06262	10	4	4	9	13	21	56	116	491	9341	122
DB06151	10	1	1	8	42	81	201	443	1112	13938	469
DB01355	10	0	0	2	4	4	12	42	81	570	80
DB01354	10	0	0	2	4	4	12	42	81	570	80
DB01353	10	0	0	2	4	4	12	42	81	570	80
DB01244	10	2	2	7	15	20	27	318	387	3670	375
DB01169	10	10	19	10	161	394	1219	1935	3377	75126	1935
DB01149	10	6	6	7	7	12	15	117	357	6071	124
DB01065	10	10	26	5	48	49	125	237	247	4758	237
DB01050	10	2	7	7	58	76	200	409	470	8541	444
DB00907	10	1	1	3	4	12	12	99	228	1016	110
DB00795	10	2	2	5	53	78	232	434	696	10233	457
DB00783	10	6	39	6	71	109	349	326	428	8504	362
DB00431	10	3	34	3	57	72	203	230	269	5854	255
DB00398	10	10	84	10	83	354	965	651	2857	121227	651
DB00396	10	7	59	8	76	126	353	475	650	12784	477
DB00393	10	1	1	10	13	40	73	135	414	4078	144
DB00381	10	1	1	5	7	20	20	107	332	2541	115
DB00308	10	1	1	5	8	14	17	117	213	1453	128
DB00289	10	1	1	7	10	33	53	146	767	8175	156
DB00163	10	10	26	6	92	219	660	925	1986	55452	925
DB00144	10	1	4	1	42	42	109	367	373	11965	375
DB00132	10	3	4	7	45	73	191	209	329	5952	224
DB00013	10	1	1	9	26	38	76	184	314	2488	211
DB06579	9	0	0	0	0	0	0	5	32	148	25
DB04896	9	1	1	7	10	33	53	141	756	8075	150
DB01544	9	0	0	1	2	2	2	9	32	146	33
DB01365	9	4	4	9	13	21	56	116	491	9341	122
DB01329	9	0	0	0	0	0	0	0	0	0	0
DB01115	9	2	13	7	17	32	56	150	338	3079	162
DB01064	9	4	4	8	109	270	969	920	1623	41813	933
DB01045	9	2	13	2	11	11	35	55	56	753	56
DB01017	9	4	9	6	52	66	220	216	273	6421	257
DB01016	9	0	0	6	26	32	55	254	457	7799	289
DB00805	9	0	0	5	18	21	41	111	283	5328	138
DB00713	9	0	0	0	0	0	0	2	2	4	3
DB00619	9	9	48	6	85	214	522	623	1761	70785	623
DB00594	9	0	0	6	17	21	46	156	198	3108	164
DB00523	9	7	15	8	44	96	236	169	365	6390	169
DB00438	9	0	0	0	0	0	0	0	0	0	0
DB00328	9	1	1	5	41	50	155	160	197	4038	185
DB00255	9	9	62	8	78	141	426	430	627	11773	430
DB00242	9	9	22	8	21	52	103	314	670	9988	314
DB00200	9	9	9	5	10	10	15	109	109	438	109
DB00197	9	4	6	7	35	58	154	179	265	4896	206
DB00193	9	1	1	5	3	6	6	165	318	4585	173
DB00125	9	0	0	2	15	22	64	150	255	2051	180
DB00121	9	0	0	4	39	152	576	176	611	16444	186
DB00098	9	2	10	7	42	69	227	252	414	6717	291
DB13151	8	0	0	8	22	33	72	156	305	2577	241
DB09213	8	1	6	6	47	55	142	379	405	7151	414
DB09078	8	8	64	8	64	303	942	503	2549	107420	503
DB08922	8	5	5	6	8	14	14	97	324	5946	108
DB06144	8	4	4	8	11	17	23	108	370	6867	120
DB01442	8	1	1	4	15	27	55	90	119	1843	101
DB01268	8	8	78	8	67	289	749	515	2505	106457	515
DB01088	8	0	0	7	9	17	23	97	191	3962	101
DB01054	8	0	0	6	7	22	22	103	291	2345	111
DB00925	8	5	5	7	12	18	44	110	389	7440	114
DB00819	8	7	7	1	1	1	5	13	28	170	13
DB00811	8	3	3	3	4	4	6	100	127	2404	101
DB00800	8	4	4	6	5	11	11	82	387	7434	86
DB00774	8	5	6	2	7	7	15	54	60	516	63
DB00759	8	0	0	1	2	2	7	26	26	384	30
